"date","death","deathIncrease","inIcuCumulative","inIcuCurrently","hospitalizedIncrease","hospitalizedCurrently","hospitalizedCumulative","negative","negativeIncrease","onVentilatorCumulative","onVentilatorCurrently","positive","positiveIncrease","recovered","states","totalTestResults","totalTestResultsIncrease"
"2020-11-17",239784,1567,27681,14851,3601,76823,524171,137808265,1093665,3004,4379,11202899,155835,4293640,56,170315721,1501429
"2020-11-16",238217,581,27437,14317,3070,73029,520570,136714600,1103360,2988,4166,11047064,148532,4244811,56,168814292,1479298
"2020-11-15",237636,680,27269,13693,2007,69995,517500,135611240,1163013,2975,3939,10898532,145582,4185549,56,167334994,1618378
"2020-11-14",236956,1324,27172,13337,3547,69463,515493,134448227,1182166,2972,3945,10752950,164848,4148505,56,165716616,1676767
"2020-11-13",235632,1304,26997,13132,3476,68519,511946,133266061,1214969,2967,3769,10588102,171376,4095387,56,164039849,1683680
"2020-11-12",234328,1104,26803,12796,3927,67092,508470,132051092,1009425,2954,3622,10416726,150526,4051256,56,162356169,1490426
"2020-11-11",233224,1565,26584,12518,3331,65373,504543,131041667,992359,2947,3367,10266200,144487,3997204,56,160865743,1381858
"2020-11-10",231659,1347,26335,11961,3952,61961,501212,130049308,938410,2922,3201,10121713,130995,3961873,56,159483885,1237365
"2020-11-09",230312,580,26087,11533,2306,59275,497260,129110898,1224712,2907,3110,9990718,118698,3928845,56,158246520,1518878
"2020-11-08",229732,487,25819,11120,1612,56799,494954,127886186,924905,2900,2977,9872020,110829,3881558,56,156727642,1259450
"2020-11-07",229245,1104,25721,11082,2382,55840,493342,126961281,979685,2898,2947,9761191,129187,3851509,56,155468192,1405858
"2020-11-06",228141,1186,25498,11085,3063,54824,490960,125981596,1142661,2885,2850,9632004,125234,3810791,56,154062334,1562024
"2020-11-05",226955,1124,25276,10918,3741,53322,487897,124838935,1180778,2872,2877,9506770,116152,3781751,56,152500310,1563726
"2020-11-04",225831,1116,25041,10761,2806,52049,484156,123658157,862722,2853,2832,9390618,103063,3743527,56,150936584,1207099
"2020-11-03",224715,1529,24796,10406,3150,50340,481350,122795435,839965,2833,2733,9287555,86073,3705130,56,149729485,1125798
"2020-11-02",223186,476,24560,9858,1510,48470,478200,121955470,1072732,2809,2637,9201482,82240,3674981,56,148603687,1327965
"2020-11-01",222710,391,24457,9553,1161,47520,476690,120882738,815894,2797,2553,9119242,74052,3633903,56,147275722,1139567
"2020-10-31",222319,963,24375,9499,2081,47375,475529,120066844,1038268,2786,2502,9045190,90499,3612517,56,146136155,1373818
